Shop,Country,Manufacturer,Model,Assembled,Build envelope(W x D x H mm),Image,Technology,Price(US$),Lead time
Airwolf 3D,USA,Airwolf 3D,AW3D HD2x,Yes,280x200x300,,FFF,"$ 3,995.00",3-4 Week
Hyrel 3D,USA,Hyrel 3D,System 30,Yes,225x200x200,,FFF,"$ 3,995.00",8 weeks
RAISE3D,USA,RAISE3D,Pro2 3D Printer,Yes,305x305x300,,FFF,"$ 3,999.00",In stock
WASP,Italy,WASP,DeltaWASP 20 40 Turbo2 (standard version and with Zen dual extruder),Yes, 200 mm x 400 mm h,,FDM/LDM,"$ 4,000.00",4 weeks
IonCoreLtd,UK,IonCoreLtd,Zinter PRO 3D Printer,Yes,200x200x200,,FFF,"$ 4,026.00",4 weeks
InDimension3,USA,inDimension3,Glacier Peak  - Dual Head Printer,Yes,160x160x120,,FFF,"$ 4,150.00",Sold out
Ilios 3D Shop,Cyprus,rdGizmo For You LTD,Ilios HD SLA 3D Printer Kit,DIY kit,340x440x380,,SLA,"$ 4,183.00",-
EZ 3D printers,Taiwan,EZ 3D printers,EZ 3D Printer-200H,Yes,200x150x150 ,,FFF,"$ 4,495.00",-
Zbot ,China,Zbot.cc,Zbot,Yes,250x250x200,,FFF,"$ 4,500.00",-
3ntr,Italy,3ntr,A4 printer,Yes,305x205x210,,FFF,"$ 4,508.00",in stock
AOD,China,AOD,AOD-Artist,Yes,200x200x200,,FFF,"$ 4,638.00",-
Delta Tower,Switzerland,Delta Tower,Delta Tower,Yes,175x175x580,,FFF,"$ 4,891.00",-
3D Systems,USA,3D Systems,ProJet 1200,Yes,43x27x150,,SLA,"$ 4,900.00",-
Old World Laboratories,USA,Old World Laboratories,OWL Nano,Yes,150x150x200,,SLA,"$ 4,900.00",Pre-order
B9Creations,USA,B9Creations,B9Creator 3D printer ,Yes,77x102x203 ,,DLP,"$ 4,995.00",-
MarkForged,USA,MarkForged,Mark One,Yes,305x160x160,,FFF / CFF,"$ 4,999.00",Pre-order
Autodesk,USA,Autodesk,Autodesk 3D Printer,Yes,-,,SLA,"$ 5,000.00",-
DWS Lab,Italy,DWS Lab,XFab 3D Laser Printer,Yes,180180,,Laser Stereolithography,"$ 5,000.00",-
Khling&Khling,Germany,Khling&Khling,RepRap Industrial 3D printer,DIY kit,200x200x200,,FFF,"$ 5,412.00",October 2013
COBOT, contact,COBOT,Desktop 3D Printer,Yes,210x270x210,,FFF,"$ 5,439.00",-
Leapfrog,Netherlands,Leapfrog,Creatr XL,Yes,230x260x600,,FFF,"$ 5,446.00",-
Eckertech,Canada,Ecrewvis,ECV-One,Yes,250x248x205,,FFF,"$ 5,447.00",-
re.3d.org,USA,re.3d.org,Gigabot,DIY kit,600x600x600,,FFF,"$ 5,950.00",In Stock
RAISE3D,USA,RAISE3D,Pro2 Plus 3D Printer,Yes,305x305x605,,FFF,"$ 5,999.00",In stock
InDimension3,USA,inDimension3,Glacier Summit - Dual Head Printer,Yes,400x400x500,,FFF,"$ 5,999.00",In Stock
Omni3d,Poland,Omni3d,Architect,Yes,310x410x310,,FFF,"$ 6,225.00",in stock
Sumpod,UK,Sumpod,Sumpod Mega,Yes,600x600x600,,FFF,"$ 6,290.00",3 weeks
Asiga,USA,Asiga,Freeform Pico,Yes,40x30x75 ,,Sliding separation,"$ 6,990.00",6-8 weeks
Actuity Design,USA,Actuity Design,Helix  3D Printer,Yes,300x300x300,,FFF,"$ 7,200.00",Pre Order
Leapfrog,Netherlands,Leapfrog,Xeed,Yes,370x340x290 ,,FFF,"$ 7,411.00",-
InDimension3,USA,InDimension3,Glacier Summit Plus,Yes,406x406x457,,FFF,"$ 7,495.00",2 weeks
Robot Factory,Italy,Robot Factory,3DLPrinter,Yes,102x78x160 ,,DLP,"$ 7,833.00",-
Makerbot,USA,Makerbot,Replicator Z18,Yes,305x305x457,,FFF,"$ 8,758.00",2-3 days
MarkForged,USA,MarkForged,Mark One Developer Kit,DIY kit,305x160x160,,FFF,"$ 8,799.00",-
re.3d.org,USA,re.3d.org,Gigabot,Yes,600x600x600,,FFF,"$ 8,950.00",In Stock
Asiga,USA,Asiga,Freeform Pico Plus27,Yes,35x21.8x75,,Sliding separation,"$ 8,990.00",6-8 weeks
Asiga,USA,Asiga,Freeform Pico Plus33,Yes,43x27x75,,Sliding separation,"$ 8,990.00",6-8 weeks
Asiga,USA,Asiga,Freeform Pico Plus39,Yes,50x31.2x75,,Sliding separation,"$ 8,990.00",6-8 weeks
Leapfrog,Netherlands,Leapfrog ,Xeed,Yes,350x270x220,,FFF,"$ 9,532.00",-
SolidModel USA ,USA,Solido,Solido SD300 Pro 3D Printer,Yes,160x210x135,,,"$ 9,995.00",-
