Manufacturer,Model,Mode,Power (W),AM Process,General Material Type,Specific Material Type,X (in),Y (in),Z (in),Price (USD),Availability
Click for Details,Xi'an Bright Laser Technologies,BLT-C600 (LSF-Series),,2000,Directed Energy Deposition,Metal,"Titanium, Steel, Nickel",23.6,23.6,39.4,Price not reported,
Click for Details,Xi'an Bright Laser Technologies,BLT-C600 (LSF-Series),,4000,Directed Energy Deposition,Metal,"Titanium, Steel, Nickel",23.6,23.6,39.4,Price not reported,
Click for Details,Xi'an Bright Laser Technologies,BLT-S210,,200,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Copper, Cobalt, Titanium, Steel",4.13,4.13,7.87,Price not reported,
Click for Details,Xi'an Bright Laser Technologies,BLT-S210,,500,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Copper, Cobalt, Titanium, Steel",4.13,4.13,7.87,Price not reported,
Click for Details,Xi'an Bright Laser Technologies,BLT-S310,,500,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Copper, Cobalt, Titanium, Steel",9.84,9.84,15.75,Price not reported,
Click for Details,Xi'an Bright Laser Technologies,BLT-S320,,500,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Copper, Cobalt, Titanium, Steel",9.84,9.84,15.75,Price not reported,
Click for Details,Xi'an Bright Laser Technologies,BLT-S400,,500,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Copper, Cobalt, Titanium, Steel",9.84,15.75,15.75,Price not reported,
Click for Details,XJet,Carmel 1400,,,Material Jetting,"Ceramic, Metal",,19.69,11.02,7.87,Price not reported,
Click for Details,XJet,Carmel 700,,,Material Jetting,"Ceramic, Metal",,19.69,5.51,7.87,Price not reported,
Click for Details,Zhuhai CTC Electronic,Riverbase 500,,,Vat Photopolymerization (e.g. SLA),Polymer,,19.7,15.7,11.8,"$50,000 - $99,999",
Click for Details,Zhuhai CTC Electronic,Walnut 26,,500,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Nickel, Cobalt, Aluminum",10.24,10.24,10.24,Price not reported,
Click for Details,ZRapid Tech,FMS400,,60,Powder Bed Fusion (e.g. SLS),"Ceramic, Polymer, Metal",,15.75,15.75,15.75,Price not reported,
Click for Details,ZRapid Tech,SLA1100,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,43.31,43.31,23.62,Price not reported,
Click for Details,ZRapid Tech,SLA200,,,Vat Photopolymerization (e.g. SLA),Polymer,,7.8,6.3,6.3,Price not reported,
Click for Details,ZRapid Tech,SLA300,,,Vat Photopolymerization (e.g. SLA),Polymer,,11.8,11.8,11.8,Price not reported,
Click for Details,ZRapid Tech,SLA450,,,Vat Photopolymerization (e.g. SLA),Polymer,,17.7,17.7,13.8,Price not reported,
Click for Details,ZRapid Tech,SLA500,,,Vat Photopolymerization (e.g. SLA),Polymer,,19.7,15.7,15.7,Price not reported,
Click for Details,ZRapid Tech,SLA550,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,19.69,19.69,11.81,Price not reported,
Click for Details,ZRapid Tech,SLA660,,,Vat Photopolymerization (e.g. SLA),Polymer,,23.6,23.6,15.7,Price not reported,
Click for Details,ZRapid Tech,SLA800,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,23.62,31.5,15.75,Price not reported,
Click for Details,ZRapid Tech,SLM150,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Nickel, Titanium, Aluminum",6.3,7.8,7.8,Price not reported,
Click for Details,ZRapid Tech,SLM280,,500,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Nickel, Aluminum, Titanium",11.02,11.02,13.78,"$100,000 - $249,999",
Click for Details,ZRapid Tech,SLM300,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Nickel, Titanium, Aluminum",11.8,9.8,9.8,Price not reported,
Click for Details,ZRapid Tech,SLS300,,60,Powder Bed Fusion (e.g. SLS),Polymer,PA,11.81,11.81,11.81,Price not reported,
Click for Details,3D Platform,3DP Workbench,,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS, PC, PA, PVA, HIPS",39.4,39.4,19.7,"Less than $49,999",Discontinued
Click for Details,3D Platform,3DP1000,,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS, PC, PA, PVA, HIPS",39.4,39.4,19.7,"Less than $49,999",Discontinued
Click for Details,3D Systems,iPro 8000,RDM 650M,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, ABS-like/PP-like, PC-like, PP-like",25.6,13.7,11.8,"$500,000 - $999,999",Discontinued
Click for Details,3D Systems,iPro 8000,RDM 750F,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, ABS-like/PP-like, PC-like, PP-like",25.6,29.5,21.65,"$500,000 - $999,999",Discontinued
Click for Details,3D Systems,iPro 8000,RDM 750H,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, ABS-like/PP-like, PC-like, PP-like",25.6,29.5,10.8,"$500,000 - $999,999",Discontinued
Click for Details,3D Systems,iPro 8000,RDM 750SH,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, ABS-like/PP-like, PC-like, PP-like",25.6,29.5,1.97,"$500,000 - $999,999",Discontinued
Click for Details,3D Systems,iPro 8000 MP,RDM 650M,,Vat Photopolymerization (e.g. SLA),Polymer,PP-like,25.6,13.7,11.8,"$250,000 - $499,999",Discontinued
Click for Details,3D Systems,iPro 8000 MP,RDM 750F,,Vat Photopolymerization (e.g. SLA),Polymer,PP-like,25.6,29.5,21.65,"$250,000 - $499,999",Discontinued
Click for Details,3D Systems,iPro 8000 MP,RDM 750H,,Vat Photopolymerization (e.g. SLA),Polymer,PP-like,25.6,29.5,10.8,"$250,000 - $499,999",Discontinued
Click for Details,3D Systems,iPro 8000 MP,RDM 750SH,,Vat Photopolymerization (e.g. SLA),Polymer,PP-like,25.6,29.5,1.97,"$250,000 - $499,999",Discontinued
Click for Details,3D Systems,Phenix PXL,,500,Powder Bed Fusion (e.g. SLS),"Ceramic, Metal",,9.84,9.84,11.81,"$250,000 - $499,999",Discontinued
Click for Details,3D Systems,Phenix PXM,,300,Powder Bed Fusion (e.g. SLS),"Ceramic, Metal",,5.51,5.51,3.94,"$250,000 - $499,999",Discontinued
Click for Details,3D Systems,Phenix PXS,,50,Powder Bed Fusion (e.g. SLS),"Ceramic, Metal",,3.94,3.94,3.15,"$100,000 - $249,999",Discontinued
Click for Details,3D Systems,ProJet 1200,Standard,,Vat Photopolymerization (e.g. SLA),Polymer,,1.69,1.06,7.086,"Less than $49,999",Discontinued
Click for Details,3D Systems,ProJet 160,Monochrome,,Binder Jetting,Composite,Gypsum,9.3,7.3,5,"Less than $49,999",Discontinued
Click for Details,3D Systems,ProJet 260C,Basic CMY,,Binder Jetting,Composite,Gypsum,9.3,7.3,5,"Less than $49,999",Discontinued
Click for Details,3D Systems,ProJet 3510 CP,HD,,Material Jetting,Wax,Wax-like,11.75,7.3,8,"$50,000 - $99,999",Discontinued
Click for Details,3D Systems,ProJet 3510 CP,HDHiQ,,Material Jetting,Wax,Wax-like,11.75,7.3,8,"$50,000 - $99,999",Discontinued
Click for Details,3D Systems,ProJet 3510 CPX,HD,,Material Jetting,Wax,Wax-like,11.75,7.3,8,"$50,000 - $99,999",Discontinued
Click for Details,3D Systems,ProJet 3510 CPX,HDHiQ,,Material Jetting,Wax,Wax-like,11.75,7.3,8,"$50,000 - $99,999",Discontinued
Click for Details,3D Systems,ProJet 3510 CPX,XHD,,Material Jetting,Wax,Wax-like,5,6,7,"$50,000 - $99,999",Discontinued
Click for Details,3D Systems,ProJet 3510 CPXMax,HD,,Material Jetting,Wax,Wax-like,11.75,7.3,8,"$50,000 - $99,999",Discontinued
Click for Details,3D Systems,ProJet 3510 CPXMax,HDHiQ,,Material Jetting,Wax,Wax-like,11.75,7.3,8,"$50,000 - $99,999",Discontinued
Click for Details,3D Systems,ProJet 3510 CPXMax,UHD,,Material Jetting,Wax,Wax-like,11.75,7.3,8,"$50,000 - $99,999",Discontinued
Click for Details,3D Systems,ProJet 3510 CPXMax,XHD,,Material Jetting,Wax,Wax-like,11.75,7.3,8,"$50,000 - $99,999",Discontinued
Click for Details,3D Systems,ProJet 3510 CPXPlus,HD,,Material Jetting,Wax,Wax-like,11.75,7.3,8,"$50,000 - $99,999",Discontinued
Click for Details,3D Systems,ProJet 3510 CPXPlus,HDHiQ,,Material Jetting,Wax,Wax-like,11.75,7.3,8,"$50,000 - $99,999",Discontinued
Click for Details,3D Systems,ProJet 3510 CPXPlus,UHD,,Material Jetting,Wax,Wax-like,8,7,6,"$50,000 - $99,999",Discontinued
Click for Details,3D Systems,ProJet 3510 CPXPlus,XHD,,Material Jetting,Wax,Wax-like,8,7,6,"$50,000 - $99,999",Discontinued
Click for Details,3D Systems,ProJet 3510 DP,HD,,Material Jetting,Polymer,Acrylic,11.75,7.3,8,"$50,000 - $99,999",Discontinued
Click for Details,3D Systems,ProJet 3510 DP,UHD,,Material Jetting,Polymer,Acrylic,8,7,6,"$50,000 - $99,999",Discontinued
Click for Details,3D Systems,ProJet 3510 DPPro,HDP,,Material Jetting,Polymer,Acrylic,11.75,7.3,8,"$50,000 - $99,999",Discontinued
Click for Details,3D Systems,ProJet 3510 DPPro,HDX,,Material Jetting,Polymer,Acrylic,11.75,7.3,8,"$50,000 - $99,999",Discontinued
Click for Details,3D Systems,ProJet 3510 DPPro,UHD,,Material Jetting,Polymer,Acrylic,11.75,7.3,8,"$50,000 - $99,999",Discontinued
Click for Details,3D Systems,ProJet 3510 HD,HD,,Material Jetting,Polymer,ABS-like,11.75,7.3,8,"$50,000 - $99,999",Discontinued
Click for Details,3D Systems,ProJet 3510 HD,UHD,,Material Jetting,Polymer,ABS-like,5,6,7,"$50,000 - $99,999",Discontinued
Click for Details,3D Systems,ProJet 3510 HDMax,HD,,Material Jetting,Polymer,ABS-like,11.75,7.3,8,"$50,000 - $99,999",Discontinued
Click for Details,3D Systems,ProJet 3510 HDMax,HS,,Material Jetting,Polymer,ABS-like,11.75,7.3,8,"$50,000 - $99,999",Discontinued
Click for Details,3D Systems,ProJet 3510 HDMax,UHD,,Material Jetting,Polymer,ABS-like,11.75,7.3,8,"$50,000 - $99,999",Discontinued
Click for Details,3D Systems,ProJet 3510 HDMax,XHD,,Material Jetting,Polymer,ABS-like,11.75,7.3,8,"$50,000 - $99,999",Discontinued
Click for Details,3D Systems,ProJet 3510 HDPlus,HD,,Material Jetting,Polymer,ABS-like,11.75,7.3,8,"$50,000 - $99,999",Discontinued
Click for Details,3D Systems,ProJet 3510 HDPlus,UHD,,Material Jetting,Polymer,ABS-like,8,7,6,"$50,000 - $99,999",Discontinued
Click for Details,3D Systems,ProJet 3510 HDPlus,XHD,,Material Jetting,Polymer,ABS-like,8,7,6,"$50,000 - $99,999",Discontinued
Click for Details,3D Systems,ProJet 3510 MP,HDP,,Material Jetting,Polymer,Acrylic,11.75,7.3,8,"$50,000 - $99,999",Discontinued
Click for Details,3D Systems,ProJet 3510 MP,HDX,,Material Jetting,Polymer,Acrylic,11.75,7.3,8,"$50,000 - $99,999",Discontinued
Click for Details,3D Systems,ProJet 3510 SD,HD,,Material Jetting,Polymer,ABS-like,11.75,7.3,8,"$50,000 - $99,999",Discontinued
Click for Details,3D Systems,ProJet 4500,Standard,,Binder Jetting,Polymer,,8,10,8,"$50,000 - $99,999",Discontinued
Click for Details,3D Systems,ProJet 5000,HD,,Material Jetting,Polymer,"ABS-like/PP-like, PP-like",21,15,11.8,"$100,000 - $249,999",Discontinued
Click for Details,3D Systems,ProJet 5000,HS,,Material Jetting,Polymer,"ABS-like/PP-like, PP-like",21,15,11.8,"$100,000 - $249,999",Discontinued
Click for Details,3D Systems,ProJet 5000,UHD,,Material Jetting,Polymer,"ABS-like/PP-like, PP-like",21,15,11.8,"$100,000 - $249,999",Discontinued
Click for Details,3D Systems,Projet 5500X,HD,,Material Jetting,Polymer,"ABS-like, PC-like, Rubber-like",21,15,11.8,"$100,000 - $249,999",Discontinued
Click for Details,3D Systems,Projet 5500X,UHD,,Material Jetting,Polymer,"ABS-like, PC-like, Rubber-like",21,15,11.8,"$100,000 - $249,999",Discontinued
Click for Details,3D Systems,ProJet 6000 MP,HD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, ABS-like/PP-like, PC-like, PP-like",10,10,10,"$100,000 - $249,999",Discontinued
Click for Details,3D Systems,ProJet 6000 MP,UHD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, ABS-like/PP-like, PC-like, PP-like",10,10,10,"$100,000 - $249,999",Discontinued
Click for Details,3D Systems,ProJet 6000 MP,XHD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, ABS-like/PP-like, PC-like, PP-like",10,10,10,"$100,000 - $249,999",Discontinued
Click for Details,3D Systems,ProJet 6000 SD,HD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, ABS-like/PP-like, PC-like, PP-like",10,10,10,"$100,000 - $249,999",Discontinued
Click for Details,3D Systems,ProJet 6000 SD,UHD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, ABS-like/PP-like, PC-like, PP-like",10,10,10,"$100,000 - $249,999",Discontinued
Click for Details,3D Systems,ProJet 7000 MP,HD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, ABS-like/PP-like, PC-like, PP-like",15,15,10,"$250,000 - $499,999",Discontinued
Click for Details,3D Systems,ProJet 7000 MP,UHD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, ABS-like/PP-like, PC-like, PP-like",15,15,10,"$250,000 - $499,999",Discontinued
Click for Details,3D Systems,ProJet 7000 MP,XHD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, ABS-like/PP-like, PC-like, PP-like",15,15,10,"$250,000 - $499,999",Discontinued
Click for Details,3D Systems,ProJet 7000 SD,HD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, ABS-like/PP-like, PC-like, PP-like",15,15,10,"$250,000 - $499,999",Discontinued
Click for Details,3D Systems,ProJet 7000 SD,UHD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, ABS-like/PP-like, PC-like, PP-like",15,15,10,"$250,000 - $499,999",Discontinued
Click for Details,3D Systems,ProX 400,,1000,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt, Aluminum, Titanium",19.69,19.69,19.69,Price not reported,Discontinued
Click for Details,3D Systems,ProX 400,,500,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt, Aluminum, Titanium",19.69,19.69,19.69,Price not reported,Discontinued
Click for Details,3D Systems,ProX 500,Standard,100,Powder Bed Fusion (e.g. SLS),"Composite, Polymer",PA,15,13,18,"$250,000 - $499,999",Discontinued
Click for Details,3D Systems,ProX 500 Plus,,100,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Metal",15,13,18,"$250,000 - $499,999",Discontinued
Click for Details,3D Systems,sPro 140,Base,70,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","ABS/PP, PA, PA-Glass, Rubber",22,22,18,"$500,000 - $999,999",Discontinued
Click for Details,3D Systems,sPro 140,HS,200,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","ABS/PP, PA, PA-Glass, Rubber",22,22,18,"$500,000 - $999,999",Discontinued
Click for Details,3D Systems,sPro 230,Base,70,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","ABS/PP, PA, PA-Glass, Rubber",22,22,30,"$500,000 - $999,999",Discontinued
Click for Details,3D Systems,sPro 230,HS,200,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","ABS/PP, PA, PA-Glass, Rubber",22,22,30,"$500,000 - $999,999",Discontinued
Click for Details,3D Systems,sPro 60,SD,30,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","ABS/PP, PA, PA-Glass, Rubber",15,13,18,"$250,000 - $499,999",Discontinued
Click for Details,3DCeram,Ceramaker,,,Vat Photopolymerization (e.g. SLA),Ceramic,,11.8,11.8,4.3,"$250,000 - $499,999",Discontinued
Click for Details,3DGence,3DGence Industry,,,Material Extrusion (e.g. FDM),Polymer,"ABS, PLA, HIPS, PA, PET, PVA, TPE, TPU",10.2,13.3,13.3,"Less than $49,999",Discontinued
Click for Details,3DGence,3DGence Medical,,,Material Extrusion (e.g. FDM),Polymer,PLA,9.25,10,7.6,"Less than $49,999",Discontinued
Click for Details,3Geometry,DSM 1200,,,Powder Bed Fusion (e.g. SLS),Sand,Silicate,47.2,47.2,16.5,Price not reported,Discontinued
Click for Details,3Geometry,DSM 1200 HI,,,Powder Bed Fusion (e.g. SLS),Sand,Silicate,47.2,47.2,16.5,Price not reported,Discontinued
Click for Details,3Geometry,DSM 350,,,Powder Bed Fusion (e.g. SLS),Sand,Silicate,13.8,13.8,13.8,Price not reported,Discontinued
Click for Details,3Geometry,DSM 350 HI,,,Powder Bed Fusion (e.g. SLS),Sand,Silicate,13.8,13.8,13.8,Price not reported,Discontinued
Click for Details,3Geometry,DSM 500,,,Powder Bed Fusion (e.g. SLS),Sand,Silicate,19.7,19.7,16.5,Price not reported,Discontinued
Click for Details,3Geometry,DSM 500 HI,,,Powder Bed Fusion (e.g. SLS),Sand,Silicate,19.7,19.7,16.5,Price not reported,Discontinued
Click for Details,3Geometry,DSM 800,,,Powder Bed Fusion (e.g. SLS),Sand,Silicate,31.5,31.5,16.5,Price not reported,Discontinued
Click for Details,3Geometry,DSM 800 HI,,,Powder Bed Fusion (e.g. SLS),Sand,Silicate,31.5,31.5,16.5,Price not reported,Discontinued
Click for Details,addwii,X1 Full Color 3D Printer,,,Binder Jetting,Composite,Gypsum,7.9,6.3,5.9,"Less than $49,999",Discontinued
Click for Details,AON3D,AON-M,,,Material Extrusion (e.g. FDM),Polymer,"PEEK, PEI, ABS, ASA, PLA, HIPS, PA, PET, PC, PC-ABS",17.87,17.87,25.2,"Less than $49,999",Discontinued
Click for Details,Apium,HPP 155,,,Material Extrusion (e.g. FDM),Polymer,PEEK,5.5,5.3,5.8,"Less than $49,999",Discontinued
Click for Details,Arcam (GE Additive),Arcam A2,Build tank volume 1,,Powder Bed Fusion (e.g. SLS),Metal,"Titanium, Cobalt",7.87,7.87,9.84,"$500,000 - $999,999",Discontinued
Click for Details,Arcam (GE Additive),Arcam A2,Build tank volume 2,,Powder Bed Fusion (e.g. SLS),Metal,"Titanium, Cobalt",11.81,11.81,7.87,"$500,000 - $999,999",Discontinued
Click for Details,Arcam (GE Additive),Arcam A2XX,,,Powder Bed Fusion (e.g. SLS),Metal,"Titanium, Cobalt",13.779535,13.779535,14.960638,"$500,000 - $999,999",Discontinued
Click for Details,Arcam (GE Additive),Arcam Q10,,,Powder Bed Fusion (e.g. SLS),Metal,"Titanium, Cobalt",7.87,7.87,7.09,"$500,000 - $999,999",Discontinued
Click for Details,Arcam (GE Additive),Arcam Q20,,,Powder Bed Fusion (e.g. SLS),Metal,"Titanium, Cobalt",13.78,13.78,14.96,"$500,000 - $999,999",Discontinued
Click for Details,Asiga,Freeform Pico,,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like/PP-like, Wax-like",1.18,1.57,2.99,"Less than $49,999",Discontinued
Click for Details,Asiga,Freeform Pico,Plus 27,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like/PP-like, Wax-like",1.38,0.86,2.99,"Less than $49,999",Discontinued
Click for Details,Asiga,Freeform Pico,Plus 33,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like/PP-like, Wax-like",1.67,1.04,2.99,"Less than $49,999",Discontinued
Click for Details,Asiga,Freeform Pico,Plus 39,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like/PP-like, Wax-like",1.97,1.23,2.99,"Less than $49,999",Discontinued
Click for Details,Aspect,RaFaEl 150,,30,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Carbon, Rubber-like, PS",4.921263,4.921263,6.692917,"$100,000 - $249,999",Discontinued
Click for Details,Aspect,RaFaEl 300,,60,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Carbon, Rubber-like, PS",11.023628,11.023628,14.566937,"$250,000 - $499,999",Discontinued
Click for Details,Aspect,RaFaEl 550,,100,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Carbon, Rubber-like, PS",18.897648,18.897648,18.897648,"$500,000 - $999,999",Discontinued
Click for Details,Aurora Labs,S-Titanium,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Nickel, Cobalt, Iron",5.9,5.9,19.685,"Less than $49,999",Discontinued
Click for Details,be3D,DeeRed,,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS, PVA",15.74804,15.74804,30.314977,"Less than $49,999",Discontinued
Click for Details,BeAM,CLAD Unit,,,Directed Energy Deposition,Metal,"Titanium, Nickel",39.4,27.6,27.6,Price not reported,Discontinued
Click for Details,BeAM,MAGIC,,,Directed Energy Deposition,Metal,"Titanium, Nickel",59.1,31.5,31.5,"Greater than $1,000,000",Discontinued
Click for Details,BeAM,Mobile CLAD,,,Directed Energy Deposition,Metal,"Titanium, Nickel",15.7,9.8,7.9,"$250,000 - $499,999",Discontinued
Click for Details,Beijing Longyuan,AFS5100,,55,Powder Bed Fusion (e.g. SLS),"Polymer, Sand","Silicate, PS",22,22,19.7,"$100,000 - $249,999",Discontinued
Click for Details,Beijing Longyuan,AFS5300,,100,Powder Bed Fusion (e.g. SLS),"Polymer, Sand","Silicate, PS",27.6,27.6,19.7,"$100,000 - $249,999",Discontinued
Click for Details,Beijing Longyuan,AFS7000,,100,Powder Bed Fusion (e.g. SLS),"Polymer, Sand","Silicate, PS",27.6,27.6,19.7,"$100,000 - $249,999",Discontinued
Click for Details,Beijing Longyuan,AFS-M180,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Nickel",7.08,7.08,7.87,"$250,000 - $499,999",Discontinued
Click for Details,Beijing Longyuan,SLM-250,,400,Powder Bed Fusion (e.g. SLS),Metal,,9.8,9.8,9.8,"$250,000 - $499,999",Discontinued
Click for Details,Beijing Tiertime Technology,Inspire A370,,,Material Extrusion (e.g. FDM),Polymer,ABS,12.6,12.99,14.57,"$50,000 - $99,999",Discontinued
Click for Details,Beijing Tiertime Technology,Inspire A450,,,Material Extrusion (e.g. FDM),Polymer,ABS,13.78,14.96,17.72,"$50,000 - $99,999",Discontinued
Click for Details,Beijing Tiertime Technology,Inspire D255,,,Material Extrusion (e.g. FDM),Polymer,ABS,10.04,10.04,12.2,"Less than $49,999",Discontinued
Click for Details,Beijing Tiertime Technology,Inspire D290,,,Material Extrusion (e.g. FDM),Polymer,ABS,10.04,11.42,12.6,"Less than $49,999",Discontinued
Click for Details,Beijing Tiertime Technology,Inspire S220,,,Material Extrusion (e.g. FDM),Polymer,ABS,5.91,7.87,7.87,"Less than $49,999",Discontinued
Click for Details,Beijing Tiertime Technology,Inspire S250,,,Material Extrusion (e.g. FDM),Polymer,ABS,5.91,7.87,9.84,"Less than $49,999",Discontinued
Click for Details,BigRep,BigRep ONE.2,,,Material Extrusion (e.g. FDM),Polymer,"PLA, CoPolymere, Laywood, Laybrick",43.31,42.01,43.19,"Less than $49,999",Discontinued
Click for Details,BigRep,BigRep Tech,,,Material Extrusion (e.g. FDM),Polymer,PC,15.7,15.7,23.6,Price not reported,Discontinued
Click for Details,Blueprinter,Blueprinter M3,,,Powder Bed Fusion (e.g. SLS),Polymer,,6.181106,7.87402,5.905515,"Less than $49,999",Discontinued
Click for Details,Carima,CM-128,Pixel Size: 100µm,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, Acrylic",5.03,3.14,7.87,"Less than $49,999",Discontinued
Click for Details,Carima,CM-64,Pixel Size: 50µm,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, Acrylic",2.51,1.41,11.02,"Less than $49,999",Discontinued
Click for Details,Carima,DP 110,,,Vat Photopolymerization (e.g. SLA),Polymer,,4.330711,3.228348,7.480319,"Less than $49,999",Discontinued
Click for Details,Carima,DP 845,,,Vat Photopolymerization (e.g. SLA),Polymer,,3.149608,1.771655,7.87402,"Less than $49,999",Discontinued
Click for Details,Carima,IM-130,Pixel Size: 67µm,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, Acrylic",5.11,2.87,5.9,"Less than $49,999",Discontinued
Click for Details,Carima,IM-78,Pixel Size: 40µm,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, Acrylic",3.09,1.73,5.9,"Less than $49,999",Discontinued
Click for Details,Carima,Master EV,,,Vat Photopolymerization (e.g. SLA),Polymer,,7.87402,4.409451,7.87402,"Less than $49,999",Discontinued
Click for Details,Cincinnati Incorporated,BAAM 100 ALPHA - Size 1,,,Material Extrusion (e.g. FDM),"Polymer, Composite","ABS-Carbon, ABS-Glass, PC-Carbon, PC-Glass, PA-Carbon, PPSU-Carbon, PPS-Carbon, PEI-Carbon, PPE-Carbon, PPE-Glass, PEEK-Carbon,",157.5,78.75,34,"$500,000 - $999,999",Discontinued
Click for Details,Cincinnati Incorporated,BAAM 100 ALPHA - Size 2,,,Material Extrusion (e.g. FDM),"Polymer, Composite","ABS-Carbon, ABS-Glass, PC-Carbon, PC-Glass, PA-Carbon, PPSU-Carbon, PPS-Carbon, PEI-Carbon, PPE-Carbon, PPE-Glass, PEEK-Carbon,",240,93,72,"Greater than $1,000,000",Discontinued
Click for Details,CMET,EQ-1,,,Vat Photopolymerization (e.g. SLA),Polymer,"Epoxy, Silicone-like",24,24,19.7,"$250,000 - $499,999",Discontinued
Click for Details,Concept Laser (GE Additive),M3 linear,,400,Powder Bed Fusion (e.g. SLS),Metal,"Cobalt, Nickel, Steel",11.81,13.78,11.81,"$500,000 - $999,999",Discontinued
Click for Details,Concept Laser (GE Additive),M3 linear,,200,Powder Bed Fusion (e.g. SLS),Metal,"Cobalt, Nickel, Steel",11.81,13.78,11.81,"$500,000 - $999,999",Discontinued
Click for Details,Concept Laser (GE Additive),X line 1000R,,1000,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Titanium, Nickel",24.8,15.75,19.69,"Greater than $1,000,000",Discontinued
Click for Details,D-MEC,SCS-8100,,,Vat Photopolymerization (e.g. SLA),Polymer,Epoxy,24,24,19.7,Price not reported,Discontinued
Click for Details,D-MEC,SCS-8100,D,,Vat Photopolymerization (e.g. SLA),Polymer,Epoxy,24,24,19.7,Price not reported,Discontinued
Click for Details,DPP,XL DPE 3D Printer,,,Material Extrusion (e.g. FDM),Polymer,"PEI, PLA, ABS, PA, PVA, HIPS, TPU",47,47,20,"Less than $49,999",Discontinued
Click for Details,DWS Systems,DigitalWax 008J,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,2.56,2.56,3.54,"Less than $49,999",Discontinued
Click for Details,EnvisionTEC,Perfactory 3 DDP,"ERM, Lens f = 2.36"" (60mm)",,Vat Photopolymerization (e.g. SLA),"Ceramic, Composite, Polymer","ABS-like, Gypsum-like",3.31,2.48,9.06,"$50,000 - $99,999",Discontinued
Click for Details,EnvisionTEC,Perfactory 3 DDP,"ERM, Lens f = 2.36"" (60mm), Increased Productivity",,Vat Photopolymerization (e.g. SLA),"Ceramic, Composite, Polymer","ABS-like, Gypsum-like",3.59,2.66,9.06,"$50,000 - $99,999",Discontinued
Click for Details,EnvisionTEC,Perfactory 3 Mini Multi Lens with ERM,"Lens f=2.36"" (60mm)",,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS-like, Wax-like",3.59,2.66,9.06,"$50,000 - $99,999",Discontinued
