Manufacturer,Model,Mode,Power (W),AM Process,General Material Type,Specific Material Type,X (in),Y (in),Z (in),Price (USD),Availability
Click for Details,Aconity,AconityLAB,Single,1000,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Nickel, Aluminum, Titanium, Copper, Cobalt",6.69,6.69,7.87,Price not reported,
Click for Details,Aconity,AconityMIDI,Single,400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Nickel, Aluminum, Titanium, Copper, Cobalt",6.69,6.69,7.87,Price not reported,
Click for Details,Aconity,AconityMIDI,Single,1000,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Nickel, Aluminum, Titanium, Copper, Cobalt",6.69,6.69,7.87,Price not reported,
Click for Details,Aconity,AconityMINI,Single,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Nickel, Aluminum, Titanium, Copper, Cobalt",5.51,5.51,7.87,Price not reported,
Click for Details,Aconity,AconityMINI,Single,400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Nickel, Aluminum, Titanium, Copper, Cobalt",5.51,5.51,7.87,Price not reported,
Click for Details,Aconity,AconityONE,Single,400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Nickel, Aluminum, Titanium, Copper, Cobalt",15.75,15.75,15.75,Price not reported,
Click for Details,Aconity,AconityONE,Single,1000,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Nickel, Aluminum, Titanium, Copper, Cobalt",15.75,15.75,15.75,Price not reported,
Click for Details,Additive Industries,MetalFAB1,,400,Powder Bed Fusion (e.g. SLS),Metal,,16.54,16.54,15.75,"Greater than $1,000,000",
Click for Details,AddUp,AddUp FormUp 350,,500,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Nickel, Titanium, Aluminum",13.78,13.78,13.78,Price not reported,
Click for Details,ADMATEC,Admaflex 130,,,Vat Photopolymerization (e.g. SLA),Ceramic,"Alumina-like, Zirconia-like, Silica-like",3.78,2.12,4.72,Price not reported,
Click for Details,ADMATEC,Admetalflex 130,,,Vat Photopolymerization (e.g. SLA),Metal,"Steel, Nickel",3.78,2.13,4.72,Price not reported,
Click for Details,ADMATEC,LASERFLEX Conflux,,200-400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Nickel",3.94,3.94,3.94,Price not reported,
Click for Details,Airwolf 3D,AXIOM 20,Dual Direct,,Material Extrusion (e.g. FDM),Polymer,"ABS, PC, PP, PA, TPE, TPU, PA-Carbon, PLA, PETG",12.48,11.97,20,"Less than $49,999",
Click for Details,Airwolf 3D,AXIOM 20,Single Direct,,Material Extrusion (e.g. FDM),Polymer,"ABS, PC, PP, PA, TPE, TPU, PA-Carbon, PLA, PETG",12.48,11.97,20,"Less than $49,999",
Click for Details,Airwolf 3D,EVO 22,,,Material Extrusion (e.g. FDM),Polymer,"ABS, PC, PP, PA, TPE, TPU, PA-Carbon, PLA, PETG",12.01,12.01,22.76,"Less than $49,999",
Click for Details,AON3D,AON-M2,,,Material Extrusion (e.g. FDM),Polymer,"PEEK, PEI, PPSU, PSU, TPU, TPE, PVA, ABS, ASA, HIPS, PA, PET, PC",17.87,17.87,25.2,"Less than $49,999",
Click for Details,Apium,Apium P155,,,Material Extrusion (e.g. FDM),Polymer,"PEEK, PVDF, PEI, POM-C",5.51,5.31,5.82,"Less than $49,999",
Click for Details,Apium,Apium P220,,,Material Extrusion (e.g. FDM),Polymer,"PEEK, PVDF, PEI, POM-C",8.27,6.3,6.3,"Less than $49,999",
Click for Details,Arburg,Freeformer,3-axis,,Material Extrusion (e.g. FDM),Polymer,"ABS, ABS/PC, ABS-like, Acrylic, PA, PC, PC/ABS, PEI, PLA, PMMA, PP, PP-like, Resin, Rubber-like, TPE, TPU, TPU-like",7.4,5.3,9.1,"$100,000 - $249,999",
Click for Details,Arcam (GE Additive),Arcam A2X,,,Powder Bed Fusion (e.g. SLS),Metal,"Titanium, Cobalt, Nickel",7.87402,7.87402,14.960638,"$500,000 - $999,999",
Click for Details,Arcam (GE Additive),Arcam Q10plus,,,Powder Bed Fusion (e.g. SLS),Metal,"Titanium, Cobalt",7.87,7.87,7.09,"$500,000 - $999,999",
Click for Details,Arcam (GE Additive),Arcam Q20plus,,,Powder Bed Fusion (e.g. SLS),Metal,"Titanium, Cobalt",13.78,13.78,14.96,"$500,000 - $999,999",
Click for Details,Asiga,MAX,,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like/PP-like, Wax-like",4.69,2.64,2.95,"Less than $49,999",
Click for Details,Asiga,MAX,UV,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like/PP-like, Wax-like",4.69,2.64,2.95,"Less than $49,999",
Click for Details,Asiga,MAX Mini,,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like/PP-like, Wax-like",2.05,1.26,2.95,"Less than $49,999",
Click for Details,Asiga,MAX Mini,UV,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like/PP-like, Wax-like",2.05,1.26,2.95,"Less than $49,999",
Click for Details,Asiga,MAX X,27,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like/PP-like, Wax-like",2.04,1.15,2.95,"Less than $49,999",
Click for Details,Asiga,MAX X,27 UV,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like/PP-like, Wax-like",2.04,1.15,2.95,"Less than $49,999",
Click for Details,Asiga,MAX X,35,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like/PP-like, Wax-like",2.65,1.49,2.95,"Less than $49,999",
